epoch,accuracy,loss,val_accuracy,val_loss
0,0.37282038,1.3324392581956062,0.5072045922279358,1.2587618978978579
1,0.6424024,0.9877673454836337,0.6685879230499268,0.9017180398493061
2,0.7866039,0.5825100541692212,0.7031700015068054,0.7815857242782109
3,0.8444506,0.42115987592742543,0.7233429551124573,0.7360873780607834
4,0.8782175,0.33041606508164467,0.7175792455673218,0.8064549573903812
5,0.9070025,0.2683611366018311,0.6974063515663147,0.8558549358796661
6,0.92416275,0.22771692244243727,0.6916426420211792,0.9102327009442904
7,0.93689454,0.19268074553328934,0.680115282535553,0.9613126794611686
8,0.9507335,0.15597548743479475,0.6772334575653076,1.0604078700975315
9,0.9604207,0.13586051251513456,0.680115282535553,1.1043278885849614
10,0.96457237,0.12296625115585696,0.6772334575653076,1.200747991501426
11,0.9676169,0.10862202117507753,0.6743515729904175,1.205246572535732
12,0.9690008,0.10188201818395579,0.6829971075057983,1.2788724016387456
13,0.9692776,0.10123176386060723,0.6743515729904175,1.329274160717681
14,0.97093827,0.0895988408562725,0.6714697480201721,1.386114293285337
15,0.9728757,0.08268922526536805,0.6714697480201721,1.4193200790229379
16,0.9745364,0.0793765798745197,0.6628242135047913,1.4914735253331297
17,0.97730416,0.07530765804270612,0.6657060384750366,1.486326189824415
18,0.9753667,0.07283120796779352,0.6714697480201721,1.5216062371256716
19,0.97758096,0.06677135904344073,0.6484149694442749,1.6116251821820262
20,0.9770274,0.07406315393797454,0.6657060384750366,1.597136630448553
21,0.9778577,0.06545949815763452,0.6685879230499268,1.6134748355799517
22,0.9756435,0.06626428056089684,0.6657060384750366,1.622801617174396
23,0.97730416,0.05887853921412465,0.6628242135047913,1.6248319897940249
24,0.9767506,0.06089238771937278,0.6628242135047913,1.6622073052595947
